Frame,Timestamp (ms),x,y,Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
31,1066,297.03,150.081,12,300.31,143.809,15.1585,21.2219,0,292.731,154.42,292.731,133.198,307.889,133.198,307.889,154.42
32,1100,296.164,149.16,12,299.341,142.629,15.6102,21.8543,0,291.536,153.556,291.536,131.702,307.146,131.702,307.146,153.556
33,1133,295.185,148.53,12,298.326,141.731,15.7253,22.0154,0,290.464,152.739,290.464,130.724,306.189,130.724,306.189,152.739
34,1166,294.379,148.069,12,297.479,140.954,15.7906,22.1068,0,289.584,152.008,289.584,129.901,305.375,129.901,305.375,152.008
35,1200,293.547,147.368,12,296.689,140.217,16.2254,22.7156,0,288.576,151.575,288.576,128.86,304.802,128.86,304.802,151.575
36,1233,292.426,146.135,12,295.358,139.05,15.8356,22.1699,0,287.44,150.135,287.44,127.965,303.276,127.965,303.276,150.135
37,1266,291.048,145.721,12,293.829,138.835,15.3812,21.5336,0,286.138,149.602,286.138,128.068,301.52,128.068,301.52,149.602
38,1300,289.367,145.531,12,292.217,138.676,15.4021,21.5629,0,284.516,149.458,284.516,127.895,299.918,127.895,299.918,149.458
39,1333,295,147,12,290.672,138.299,15.4796,21.6715,0,282.932,149.135,282.932,127.463,298.412,127.463,298.412,149.135
40,1366,286.315,143.911,12,289.384,138.229,15.3103,21.4345,0,281.729,148.947,281.729,127.512,297.039,127.512,297.039,148.947
41,1400,291,148,12,288.359,137.616,15.0777,21.1088,0,280.82,148.171,280.82,127.062,295.898,127.062,295.898,148.171
42,1433,289.469,148.73,12,286.596,139.269,16.1478,22.6069,0,278.522,150.572,278.522,127.966,294.669,127.966,294.669,150.572
43,1466,288.386,149.787,12,285.372,139.788,15.2429,21.3401,0,277.751,150.458,277.751,129.118,292.994,129.118,292.994,150.458
44,1500,286.619,150.033,12,284.033,140.562,15.0723,21.1012,0,276.497,151.112,276.497,130.011,291.569,130.011,291.569,151.112
45,1533,280.114,147.456,13,282.428,141.283,15.0147,21.0206,0,274.92,151.794,274.92,130.773,289.935,130.773,289.935,151.794
46,1566,278.505,148.476,13,280.974,142.4,14.888,20.8432,0,273.53,152.821,273.53,131.978,288.418,131.978,288.418,152.821
47,1600,277.289,149.36,12,279.78,143.52,14.459,20.2426,0,272.55,153.641,272.55,133.399,287.009,133.399,287.009,153.641
48,1633,276.334,150.617,12,278.813,144.005,14.9921,20.989,0,271.316,154.5,271.316,133.511,286.309,133.511,286.309,154.5
49,1666,274.69,152.403,12,277.159,145.757,15.0041,21.0057,0,269.657,156.26,269.657,135.255,284.661,135.255,284.661,156.26
50,1700,274.221,153.503,12,276.217,147.255,14.5799,20.4119,0,268.927,157.461,268.927,137.049,283.507,137.049,283.507,157.461
51,1733,272.595,155.978,12,274.743,149.388,14.8683,20.8156,0,267.309,159.796,267.309,138.98,282.177,138.98,282.177,159.796
52,1766,270.648,157.85,12,272.766,151.339,14.7333,20.6266,0,265.399,161.652,265.399,141.025,280.133,141.025,280.133,161.652
53,1800,268.999,159.344,12,271.116,153.23,15.4355,21.6097,0,263.398,164.034,263.398,142.425,278.834,142.425,278.834,164.034
54,1833,267.628,160.136,12,269.744,154.017,14.8621,20.807,0,262.313,164.421,262.313,143.614,277.175,143.614,277.175,164.421
55,1866,266.098,160.501,12,268.259,154.929,14.7288,20.6203,0,260.894,165.239,260.894,144.619,275.623,144.619,275.623,165.239
56,1900,270,164,12,267.274,156.107,15.1826,21.2557,0,259.683,166.734,259.683,145.479,274.866,145.479,274.866,166.734
57,1933,268,164,12,266.243,156.751,16.0464,22.465,0,258.22,167.983,258.22,145.518,274.266,145.518,274.266,167.983
58,1966,267,164,12,264.81,156.827,15.9526,22.3336,0,256.834,167.993,256.834,145.66,272.786,145.66,272.786,167.993
59,2000,266,164,12,263.344,156.939,16.0405,22.4567,0,255.324,168.167,255.324,145.711,271.364,145.711,271.364,168.167
60,2033,264.505,164.27,12,261.937,156.96,16.1541,22.6157,0,253.86,168.268,253.86,145.652,270.014,145.652,270.014,168.268
61,2066,263.262,163.935,12,260.857,156.515,16.4393,23.0151,0,252.637,168.022,252.637,145.007,269.077,145.007,269.077,168.022
62,2100,261.395,164.2,12,259.382,156.447,17.0174,23.8244,0,250.874,168.359,250.874,144.535,267.891,144.535,267.891,168.359
63,2133,259.709,163.796,12,258.108,155.888,17.2393,24.135,0,249.488,167.955,249.488,143.82,266.728,143.82,266.728,167.955
64,2166,258.108,163.63,12,256.939,155.593,17.4672,24.454,0,248.205,167.82,248.205,143.366,265.672,143.366,265.672,167.82
65,2200,256.612,163.342,12,255.684,155.124,17.3442,24.2819,0,247.012,167.265,247.012,142.983,264.356,142.983,264.356,167.265
66,2233,255.322,162.824,12,254.555,154.691,17.528,24.5392,0,245.791,166.961,245.791,142.421,263.319,142.421,263.319,166.961
67,2266,253.976,162.216,12,253.483,154.239,17.4014,24.362,0,244.782,166.42,244.782,142.058,262.184,142.058,262.184,166.42
68,2300,252.558,161.341,12,252.3,153.777,17.248,24.1472,0,243.676,165.851,243.676,141.704,260.924,141.704,260.924,165.851
69,2333,251.084,160.907,12,251.154,153.37,17.2936,24.211,0,242.507,165.475,242.507,141.264,259.801,141.264,259.801,165.475
70,2366,250.012,160.971,12,250.335,152.885,17.3017,24.2224,0,241.684,164.997,241.684,140.774,258.986,140.774,258.986,164.997
71,2400,249.447,160.596,12,249.707,152.53,17.3052,24.2272,0,241.055,164.643,241.055,140.416,258.36,140.416,258.36,164.643
72,2433,248.61,159.929,12,249.044,152.248,17.2483,24.1476,0,240.42,164.321,240.42,140.174,257.668,140.174,257.668,164.321
73,2466,247.856,159.671,12,248.269,151.892,17.1335,23.9869,0,239.703,163.885,239.703,139.898,256.836,139.898,256.836,163.885
74,2500,247.145,158.893,12,247.42,151.242,16.9901,23.7862,0,238.925,163.135,238.925,139.349,255.915,139.349,255.915,163.135
75,2533,246.423,158.564,12,246.767,150.875,17.2367,24.1314,0,238.149,162.941,238.149,138.809,255.386,138.809,255.386,162.941
76,2566,245.59,157.81,12,245.919,150.229,17.2334,24.1267,0,237.303,162.292,237.303,138.165,254.536,138.165,254.536,162.292
77,2600,244.906,157.077,12,245.194,149.457,16.977,23.7679,0,236.706,161.341,236.706,137.573,253.683,137.573,253.683,161.341
78,2633,244.45,156.505,12,244.607,148.78,17.066,23.8924,0,236.074,160.726,236.074,136.834,253.14,136.834,253.14,160.726
79,2666,243.91,155.648,12,244.034,147.89,17.2199,24.1079,0,235.424,159.944,235.424,135.837,252.644,135.837,252.644,159.944
80,2700,243.61,154.766,12,243.652,146.936,17.1775,24.0485,0,235.063,158.96,235.063,134.912,252.241,134.912,252.241,158.96
81,2733,243.513,153.915,12,243.405,146.01,17.2751,24.1852,0,234.767,158.102,234.767,133.917,252.042,133.917,252.042,158.102
82,2766,243.15,152.763,12,243.281,144.849,17.4162,24.3827,0,234.573,157.04,234.573,132.658,251.989,132.658,251.989,157.04
83,2800,243.087,151.558,12,243.141,143.633,17.2376,24.1327,0,234.522,155.699,234.522,131.566,251.76,131.566,251.76,155.699
84,2833,243.016,150.63,12,242.945,142.485,17.0887,23.9242,0,234.4,154.447,234.4,130.523,251.489,130.523,251.489,154.447
85,2866,243.047,149.887,12,242.823,141.777,16.7749,23.4848,0,234.435,153.52,234.435,130.035,251.21,130.035,251.21,153.52
86,2900,242.971,149.062,12,242.541,141.153,16.541,23.1573,0,234.27,152.732,234.27,129.575,250.811,129.575,250.811,152.732
87,2933,243.045,148.908,12,242.534,140.967,16.5153,23.1215,0,234.276,152.527,234.276,129.406,250.792,129.406,250.792,152.527
88,2966,243.106,148.655,12,242.862,140.3,15.8416,22.1783,0,234.941,151.389,234.941,129.211,250.783,129.211,250.783,151.389
89,3000,243.105,148.923,12,242.856,140.416,16.0134,22.4188,0,234.849,151.625,234.849,129.206,250.863,129.206,250.863,151.625
90,3033,242.885,148.868,12,242.936,139.707,16.0498,22.4697,0,234.911,150.941,234.911,128.472,250.961,128.472,250.961,150.941
91,3066,242.613,148.797,12,242.565,139.525,16.017,22.4238,0,234.557,150.737,234.557,128.313,250.574,128.313,250.574,150.737
92,3100,242.633,148.444,12,242.456,139.04,16.0032,22.4045,0,234.455,150.242,234.455,127.837,250.458,127.837,250.458,150.242
93,3133,242.43,147.805,12,242.272,138.397,15.9928,22.39,0,234.275,149.592,234.275,127.202,250.268,127.202,250.268,149.592
94,3166,242.376,147.342,12,242.136,137.797,15.9118,22.2765,0,234.18,148.935,234.18,126.659,250.092,126.659,250.092,148.935
95,3200,242.35,146.811,12,242.066,137.412,15.9171,22.2839,0,234.108,148.554,234.108,126.27,250.025,126.27,250.025,148.554
96,3233,242.303,145.844,12,241.88,136.423,15.8953,22.2534,0,233.932,147.55,233.932,125.297,249.827,125.297,249.827,147.55
97,3266,241.902,145.37,12,241.498,135.979,15.8207,22.1489,0,233.588,147.053,233.588,124.904,249.408,124.904,249.408,147.053
98,3300,241.848,144.864,12,241.811,135.803,14.6965,20.5751,0,234.463,146.091,234.463,125.515,249.16,125.515,249.16,146.091
99,3333,241.838,144.244,12,241.802,135.225,14.6504,20.5105,0,234.477,145.48,234.477,124.97,249.128,124.97,249.128,145.48
100,3366,243,146,12,241.794,134.717,14.3945,20.1523,0,234.597,144.793,234.597,124.641,248.992,124.641,248.992,144.793
101,3400,242.883,145.372,12,241.845,134.473,15.3321,21.4649,0,234.179,145.205,234.179,123.741,249.511,123.741,249.511,145.205
102,3433,242.9,144.407,12,241.813,133.814,15.0968,21.1355,0,234.264,144.382,234.264,123.246,249.361,123.246,249.361,144.382
103,3466,243.231,143.653,12,242.006,133.202,14.9286,20.9001,0,234.542,143.652,234.542,122.752,249.471,122.752,249.471,143.652
104,3500,243.48,142.872,12,242.338,132.702,15.7311,22.0236,0,234.472,143.714,234.472,121.69,250.203,121.69,250.203,143.714
105,3533,243.621,142.482,12,242.536,132.118,15.706,21.9884,0,234.683,143.112,234.683,121.123,250.389,121.123,250.389,143.112
106,3566,244.088,141.961,12,242.924,131.524,15.5751,21.8051,0,235.136,142.427,235.136,120.622,250.711,120.622,250.711,142.427
